Cum_N2O_seasonal,Yieldsc_N2O_seasonal,YieldGap_seasonal,Origin
0.051,0.017,6.2,SSA
0.116,0.032,5.4,SSA
0.111,0.030,5.3,SSA
0.142,0.032,4.6,SSA
0.277,0.061,4.5,SSA
0.330,0.077,4.8,SSA
0.040,0.013,5.9,SSA
0.076,0.020,5.4,SSA
0.052,0.014,5.3,SSA
0.091,0.022,5.0,SSA
0.218,0.050,4.7,SSA
0.292,0.067,4.7,SSA
0.104,0.105,8.1,SSA
0.313,0.220,7.7,SSA
0.504,0.191,6.4,SSA
0.473,0.099,4.3,SSA
0.447,0.113,5.1,SSA
0.420,0.091,4.5,SSA
0.413,0.091,4.5,SSA
0.540,0.120,4.6,SSA
0.213,0.072,6.1,SSA
0.037,0.009,5.2,SSA
0.367,0.095,5.2,SSA
0.324,0.676,8.6,SSA
0.527,0.613,8.2,SSA
0.416,0.270,7.6,SSA
0.355,0.227,7.5,SSA
0.264,0.244,8.0,SSA
0.274,0.268,8.1,SSA
0.238,0.094,6.6,SSA
0.332,0.100,5.8,SSA
0.349,0.099,5.6,SSA
0.323,0.094,5.7,SSA
0.686,0.164,4.9,SSA
0.964,0.126,1.4,SSA
1.293,0.161,1.0,SSA
1.459,0.166,0.3,SSA
0.957,0.181,3.8,SSA
1.237,0.149,0.8,SSA
0.385,0.095,5.0,SSA
1.054,0.203,3.9,SSA
3.528,0.332,0.1,SSA
0.608,0.112,3.7,SSA
2.129,0.320,2.4,SSA
0.324,0.137,6.7,SSA
0.730,0.087,0.7,SSA
0.223,0.044,4.0,SSA
1.095,0.139,1.2,SSA
0.568,0.091,2.9,SSA
0.913,0.104,0.3,SSA
0.669,0.090,1.6,SSA
0.466,0.060,1.3,SSA
0.327,3.630,9.0,SSA
0.447,1.441,8.8,SSA
0.830,0.344,6.7,SSA
0.620,2.818,8.9,SSA
0.133,0.072,7.2,SSA
0.167,0.074,6.9,SSA
0.200,0.087,6.8,SSA
0.233,0.082,6.3,SSA
0.133,0.050,6.4,SSA
1.910,0.24,1.0,LAM
3.780,0.39,0.1,LAM
3.600,0.40,0.1,LAM
4.160,0.43,0.1,LAM
0.130,0.17,6.8,LAM
0.157,0.11,4.7,LAM
0.267,0.18,4.7,LAM
0.223,0.11,3.2,LAM
0.328,0.20,4.3,LAM
0.407,0.07,3.2,LAM
0.515,0.08,2.9,LAM
0.617,0.09,2.9,LAM
0.649,0.10,2.9,LAM
0.719,0.11,2.6,LAM
2.600,0.178,0.1,LAM
2.100,0.146,0.2,LAM
0.847,0.166,4.0,LAM
0.830,0.166,4.1,LAM
0.140,0.83,8.9,SE Asia
1.420,0.32,4.6,SE Asia
0.370,0.39,8.1,SE Asia
0.270,0.45,8.5,SE Asia
0.180,1.07,8.9,SE Asia
0.330,0.194,7.4,SE Asia
0.730,0.104,2.1,SE Asia
0.580,1.487,8.7,SE Asia
0.470,0.138,5.7,SE Asia
0.470,0.414,8.0,SE Asia
1.190,0.198,3.1,SE Asia
0.560,3.294,8.9,SE Asia
0.680,0.152,4.6,SE Asia
1.150,0.156,1.7,SE Asia
0.300,0.850,8.7,SE Asia
1.140,0.251,4.5,SE Asia
0.450,4.286,9.0,SE Asia
0.490,0.263,7.2,SE Asia
1.050,0.162,2.6,SE Asia
0.450,0.779,8.5,SE Asia
1.010,0.369,6.4,SE Asia
0.700,0.745,8.2,SE Asia
1.370,0.315,4.7,SE Asia
0.4,0.200,7.1,SE Asia
2,0.286,2.1,SE Asia
1.5,0.211,2.0,SE Asia
1.4,0.200,2.1,SE Asia
1.2,0.172,2.1,SE Asia
1,0.145,2.2,SE Asia
0.661,0.522,7.8,SE Asia
0.63,4.200,8.9,SE Asia
3.95,0.329,0.1,SE Asia
3.22,0.280,0.2,SE Asia
0.220,0.085,6.5,Australia
0.650,0.107,3.0,Australia
1.610,0.189,0.6,Australia
0.500,0.060,0.7,Australia